brand,nameProduct,category_id
Huawei,P8,1
Huawei,P8,1
"Huawei,""P8 Lite"",1"
"Huawei,""P8 Lite"",1"
"Huawei,""P8 Lite"",1"
"Huawei,""Y6 Pro"",1"
"Huawei,""Y6 Pro"",1"
" Asus,""Zenfone 2 Laser "",1"
" Asus,""Zenfone 2 Laser"",1"
" Asus,""Zenfone 2"",1"
" Asus,""Zenfone 2"",1"
" Asus,""Zenfone Go"",1"
" Asus,""Zenfone Max"",1"
" Asus,""Zenfone Max"",1"
" Asus,""Zenfone Selfie"",1"
" Asus,""Zenfone Selfie"",1"
" Asus,""Zenfone Selfie"",1"
"Microsoft,""Lumia 535"",1"
"Microsoft,""Lumia 550"",1"
"Microsoft,""Lumia 550"",1"
"Microsoft,""Lumia 640 XL"",1"
"Microsoft,""Lumia 640 XL"",1"
"Microsoft,""Lumia 640 XL"",1"
"Microsoft,""Lumia 640 XL"",1"
"Microsoft,""Lumia 650"",1"
"Microsoft,""Lumia 650"",1"
"Microsoft,""Lumia 650 SS"",1"
"Microsoft,""Lumia 650 SS"",1"
"Microsoft,""Lumia 640"",1"
"Microsoft,""Lumia 640"",1"
"Microsoft,""Lumia 640"",1"
"Microsoft,""Lumia 640"",1"
"Microsoft,""Lumia 950"",1"
Microsoft,Lumia950,1
"Microsoft,""Lumia 950 XL"",1"
"Microsoft,""Lumia 950 XL"",1"
"Apple,""iPhone 5S"",1"
"Apple,""iPhone 6s"",1"
"Apple,""iPhone 6S"",1"
"Apple,""iPhone 6S"",1"
"Apple,""iPhone 6S"",1"
"Apple,""iPhone SE 16 GB"",1"
"Apple,""iPhone SE 16 GB"",1"
"Apple,""iPhone SE 16 GB"",1"
"Apple,""iPhone SE 16 GB"",1"
"Apple,""iPhone SE 64GB "",1"
"Apple,""iPhone SE 64GB"",1"
"Apple,""iPhone SE 64GB"",1"
"Apple,""iPhone SE 64GB"",1"
"Motorola,""Moto G"",1"
"Motorola,""Moto G"",1"
"Motorola,""Moto X Play"",1"
"Motorola,""Moto X Play"",1"
"Motorola,""Moto X Style"",1"
"Motorola,""Moto X Force"",1"
"Samsung,""Galaxy S7 Edge"",1"
"Samsung,""Galaxy S7"",1"
"Samsung,""Galaxy S7"",1"
"Samsung,""Galaxy Note 5"",1"
"Samsung,""Galaxy Note 5"",1"
